"CODI","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"09-007","Font Cibernètica de Can Fabra","Plaça de Can Fabra - Davant la biblioteca d'Ignasi Iglésias","432472.099235821","4587268.215169470","41.434144201","2.191743560"
"09-008","Guèiser de la Plaça Islàndia","Plaça Islàndia","432192.434527691","4585383.124280490","41.417142254","2.188607920"
"09-009","Font de la Plaça de l'Assemblea de Cat","Plaça Assemblea de Catalunya","432172.340972583","4586238.465799400","41.424844339","2.188271572"
"09-010","Llac del Parc de La Maquinista","Parc de La Maquinista - Pg de l'Havana, 8","432800.491788438","4587538.113111710","41.436602628","2.195643779"
"09-011","Cascada dels Jardins de la Casa Bloc","Jardins de la Casa Bloc - Torras i Bages, 100","432344.814964180","4588050.017372410","41.441174908","2.190132679"
"09-012","Font petita dels Jardins de la Casa Bloc","Jardins de la Casa Bloc - Eiximenis, 19","432298.725014229","4588066.027746740","41.441315223","2.189579218"
"09-013","Estany dels Jardins de Can Fabra","Pl de Can Fabra - Doctor Balari i Jovany","432434.249879036","4587360.815602970","41.434975038","2.191280223"
"09-014","Llac dels Jardins del Reg","Plaça Estació - Davant l'estació de trens de Sant Andreu Comtal","432588.380748103","4587444.074568300","41.435737877","2.193115610"
"09-015","Font de la Plaça del Congrés Eucarístic","Plaça del Congrés Eucarístic - Felip II, 192","431532.230596256","4586319.300772490","41.425518091","2.180602637"
"09-016","Font seca a Baró de Viver","Centre Cívic Baró de Viver","433238.280561632","4588606.011485150","41.446257351","2.200765468"
"09-017","Font del Parc d'Antoni Santiburcio","Interior del Parc d'Antoni Santiburcio","432305.246804696","4588300.888068900","41.443431075","2.189630962"
"10-003","Làmina del Parc de Sant Martí","Plaça d'Ignasi Juliol - Fondal de Sant Martí, 30","432937.458755647","4585789.999294820","41.420869375","2.197476997"
"10-004","Font de la Plaça d'Espronceda","Plaça d'Espronceda","432928.930013079","4584639.917568460","41.410510221","2.197502458"
"10-005","Font dels Ponts - Parc del Clot","Parc del Clot - Escultors Claperós, 63","432296.897362775","4584419.502016570","41.408472016","2.189965644"
"10-006","Font del Cobi - Parc del Port Olímpic","Parc del Port Olímpic","433004.152188128","4582280.563404000","41.389266432","2.198663486"
"10-009","Llac de la Nova Icària","Parc de la Nova Icària - amb Jaume Vicens i Vives","433342.535256195","4582615.701355250","41.392313050","2.202673622"
"10-011","Canal 1 del Parc de Carles I","Parc de Carles I - Cruïlla Nord Icària / Marina / Moscou","432583.472543507","4582412.626791410","41.390420743","2.193617520"
"10-013","Làmina Nord de Rambla Prim","Rambla de Prim, 194 - entre Concili de Trento i Guipúscoa","433611.410469306","4585879.354338970","41.421730140","2.205531475"
"10-014","Làmina Sud de Rambla Prim","Rambla de Prim, 142 - entre Marroc i Cristóbal de Moura","434177.726932767","4585297.629127860","41.416537295","2.212371243"
"10-015","Ritus de Primavera - Parc del Clot","Parc del Clot - Tocant al carrer del Municipi","432334.888037984","4584500.551851920","41.409205206","2.190411077"
"10-017","Canal 3 del Parc de Carles I","Parc de Carles I - Cruïlla Sud Icària / Marina / Moscou","432558.499346263","4581996.976344060","41.386674996","2.193365115"
"10-018","Font de la Plaça dels Voluntaris","Plaça dels Voluntaris","432793.660620346","4582116.934747130","41.387775112","2.196164190"
"10-019","Canal 2 del Parc de Carles I","Parc de Carles I - Cruïlla Moscou / Ramon Trias Fargas","432625.440791466","4582173.576107710","41.388271193","2.194146052"
"10-025","Piràmide Besòs del Parc de Sant Martí","Parc de Sant Martí - Huelva / Agricultura","432958.848056204","4585693.288978620","41.420000120","2.197743654"
"10-026","Piràmide Llobregat del Parc de Sant Martí","Parc de Sant Martí - Huelva / Treball","432950.377980921","4585685.069029570","41.419925379","2.197643217"
"10-027","Quadrada Besòs del Parc de Sant Martí","Parc de Sant Martí - Menorca / Agricultura","433047.417898759","4585654.498246680","41.419658129","2.198807731"
"10-028","Quadrada Llobregat del Parc de Sant Martí","Parc de Sant Martí - Menorca / Treball","432987.157360845","4585595.708608640","41.419123605","2.198093201"
"10-029","Font sobre el Llac - Parc de Diagonal Mar","Parc de Diagonal Mar - Al costat Besòs del Llac","434266.520526548","4584437.227141620","41.408795145","2.213527129"
"10-030","Font del Costat Mar - Parc de Diagonal Mar","Parc de Diagonal Mar - Garcia Faria / Josep Pla","434542.289561087","4584254.674777740","41.407173446","2.216846037"
"10-031","Font Quadrada del Passeig Taulat - Dg Mar","Parc de Diagonal Mar - Passeig Taulat, 283","434440.499851192","4584313.345637060","41.407693584","2.215621950"
"10-032","Llac del Parc de Diagonal Mar","Parc de Diagonal Mar - Gran llac enmig del Parc","434304.670090195","4584372.166754080","41.408212282","2.213990594"
"10-033","Voga - Commemoració dels Jocs Olímpics 92","Salvador Espriu, 95","433223.794974317","4582602.662234210","41.392185760","2.201254875"
"10-036","Cascada 1 de Gran Via","Gran Via / Espronceda - cantonada Llobregat","432826.520231820","4584689.378418220","41.410947148","2.196271762"
"10-037","Cascada 2 de Gran Via","Gran Via / Espronceda - cantonada Besòs","432891.530808880","4584752.068021350","41.411517206","2.197042585"
"10-038","Cascada 3 de Gran Via","Gran Via / Bac de Roda - cantonada Llobregat","432927.681152058","4584789.857805100","41.411860585","2.197470896"
"10-039","Font Quadrada de Josep Pla - Parc Diag Mar","Josep Pla, 33","434414.700939135","4584461.576057720","41.409026554","2.215297245"
"10-040","Font Quadrada dels Jardins Mercè Plantada","Jardins de Mercè Plantada - costat Besòs","432730.376617058","4582918.746452730","41.394991527","2.195318286"
"10-041","Font Rectangular dels Jard Mercè Plantada","Jardins de Mercè Plantada - costat Llobregat","432669.646294961","4582888.686866580","41.394715706","2.194595239"
"10-042","Làmina del Parc Central del Poblenou","Parc Central del Poblenou","433178.228077600","4584335.105219860","41.407785627","2.200518660"
"10-043","Llac del Parc de Sant Martí","Parc de Sant Martí - darrera el Camp Municipal de Futbol Menorca","432716.367192253","4585628.490709450","41.419396234","2.194849460"
"10-044","Llac Superior del Centre del Disseny de Barcelona","Plaça de les Glòries, 25","432190.022323966","4583778.781852990","41.402692234","2.188758844"
"10-045","Llac Inferior del Centre del Disseny de Barcelona","Plaça de les Glòries, 25","432172.812232628","4583770.261970300","41.402614046","2.188553927"
